judgment-id,doc-id,query-id,relevance,justification
0,cooking+recipe1m+7c95cd05e17e43fd47582727f015a283,0,0,recipe has mushrooms but it was supposed to be without
1,cooking+recipe1m+e383b73df822a408f5ce77d10fee937d,0,0,recipe has mushrooms but it was supposed to be without
2,cooking+recipe1m+de140c9987537af4a5d5234cae222b26,0,0,recipe has mushrooms but it was supposed to be without
3,cooking+recipe1m+e763db5dd21e218b23e9a42d1255d951,0,0,recipe has mushrooms but it was supposed to be without
4,cooking+recipe1m+57330e2ca98e60bf504aba1e39dc8f9c,0,0,recipe has mushrooms but it was supposed to be without
5,cooking+recipe1m+c4da0f3a62d89e627785de27da1a46df,1,1,this is a recipee for a vegan cheesecake but there's no mention of it being salty
6,cooking+recipe1m+8f924014e65374a88f4ea7316a920392,1,1,one dash of salt won't make it salty but it is a vegan cheesecake
7,cooking+recipe1m+b6453cf29a550a9ccb010f6029528008,1,1,it's a vegan cheesecake but 0.5tsp isn't salty
8,cooking+recipe1m+eb7bd8c7191581ba21b9eaa83c22446b,1,1,includes vegan ingredients but is not salty
9,cooking+recipe1m+9155d017dc6d9b82dab0f77129f2f05b,1,0,it's a vegan cheesecake but no salt in the recipe
10,cooking+recipe1m+a41c157b0b052f2970fe808d3eb0dc13,2,1,it's a fluffy chocolate cake but not by a famous cook
11,cooking+recipe1m+f0ca2865b3be09ea6b78ae44da7569e5,2,0,cupcake is not a chocolate cake
12,cooking+recipe1m+ea9aba3e8277986bca5eb6e9cbce6ce3,2,1,recipe accurate but instead of a famous cook we get "famous nabisco cookies"
13,cooking+recipe1m+8d94af6530dd48900f96ed1c8244f71e,2,1,recipe accurate but instead of a famous cook we get "famous nabisco cookies"
14,cooking+recipe1m+2d5c8d5684b6e09ac255e46a52f71a2f,2,0,not a chocolate cake recipe
15,cooking+recipe1m+e06ba584b448172102d4f157465344dd,3,0,recipee requires blending
16,cooking+recipe1m+4fe554e6180a622c5472f913c99a560f,3,2,good recipe
17,cooking+recipe1m+a0bd8523943d939e382af37a2989d985,3,0,recipee requires blending
18,cooking+recipe1m+66aed4560f4a2bc58859d5bc66004cf2,3,2,good recipe
19,cooking+recipe1m+cbce4783c44ac9cdb186b9f7d508d06b,3,0,recipee requires blending
20,cooking+recipe1m+6cdc1a28746f4551e52c09e6d5861ab9,4,2,good recipe
21,cooking+recipe1m+ef94be68920f2d2274a909fe9be1e42a,4,0,not a tomato soup
22,cooking+recipe1m+683d8ab385883ff2bd75d5cc49675b84,4,1,tomato soup not by robuchon
23,cooking+recipe1m+e247e6fe9487df8466e1b6aefed67fb1,4,0,not a tomato soup
24,cooking+recipe1m+eef7566cc41e86d89c2ddd021094c110,4,1,tomato soup not by robuchon
25,cooking+recipe1m+e47e412b89988db0475b90b37fe4b6d2,5,0,has lemons
26,cooking+recipe1m+96b88c1a1c644cc55f1f858a09d746e7,5,2,good recipe
27,cooking+recipe1m+67482a624e680cb25a2736bd0ac01ab4,5,2,good recipe
28,cooking+recipe1m+597a1a0b8a5eadba6c7808db7b3b8a8a,5,2,good recipe
29,cooking+recipe1m+46773eee50eb64e67f05e7d7fc23c498,5,0,not lemonade
30,cooking+recipe1m+6d16957d722ce63216ff69168b90974f,6,0,not egg fried rice
31,cooking+recipe1m+9f29e9d2fb40cde784d086d4b29804af,6,0,not egg fried rice
32,cooking+recipe1m+5dec56c8383b198a95ec4690840ce3a1,6,1,fried rice but not by uncle roger
33,cooking+recipe1m+dc481e5137efe074b5944d35da112b0b,6,0,not egg fried rice
34,cooking+recipe1m+2528a0c95f5693f5593e6ff0c10f3438,6,1,egg fried rice but by wrong cook
35,cooking+recipe1m+64dca2a89da692269acd7ac6d156efaf,7,0,contains chicken
36,cooking+recipe1m+7c3cd62f24703ba22ecb4cb9d49fd250,7,0,contains chicken
37,cooking+recipe1m+d5bb29d0df2b105da5f7fc91da641c17,7,0,not a meatball recipe
38,cooking+recipe1m+6bd00c0edd50385718125035a151ad7f,7,0,contains meat
39,cooking+recipe1m+3a626c9d6c4c00ac6251cca6dafe0d52,7,0,contains beef
40,cooking+recipe1m+7bde78a46348aa7ed2c94c51b649d56e,8,2,cucumber dill part of greek cuisine
41,cooking+recipe1m+dc8b50178d5c1ad98b541fcf1692b181,8,2,good recipe
42,cooking+recipe1m+b69fdebe982d28e384b3174a682a0b4a,8,2,good recipe
43,cooking+recipe1m+70f2446d25adbbf2406b2f37534d92cc,8,2,good recipe
44,cooking+recipe1m+56e5b9f4ad529cda1de48fe40c6ccf44,8,1,mac and cheese is heavy not light
45,cooking+recipe1m+0281bb4d6c23a0288c52b64bc84da01a,9,2,good recipe
46,cooking+recipe1m+344a01bd87857726f1f3be1daa79c664,9,1,not for the gym
47,cooking+recipe1m+0e1017d759bd50b53fa352ceca52b287,9,2,good recipe
48,cooking+recipe1m+4686fd0cf81f872b88c76f052ca1215f,9,2,good recipe
49,cooking+recipe1m+330ac964618ef91da228736dde3c6c2c,9,1,not much banana for a banana smoothie
